temperature;s1;s2;s3
0;542880;540768;530272
0;527120;525024;520816
0;526080;522928;507168
0;523968;518720;510320
0;;515568;511376
0;521872;523968;517680
7.5;558624;562832;556528
7.5;583824;577520;565968
7.5;585920;584880;575424
7.5;589072;586976;578576
7.5;581728;586976;577520
13.2;620576;624784;614272
13.2;639472;635280;624784
13.2;640528;638432;628976
13.2;638432;638432;634224
13.2;643680;634224;635280
13.2;646832;636336;635280
18;675184;673088;665728
18;683584;680432;675184
18;684640;682528;678336
18;688832;684640;681488
18;688832;689888;674128
18;;691984;683584
18;689888;686736;674128
21;708784;699328;697232
21;710880;709840;703536
21;716128;718240;703536
21;;715088;707728
21;719280;711936;706688
21;719280;717184;709840
21;720336;714032;702480
25.5;740288;745536;733984
25.5;;748688;748688
25.5;752880;763392;751840
25.5;756032;761280;749744
25.5;761280;759184;745536
25.5;756032;754992;753936
30.5;785440;791744;779136
30.5;805392;801184;791744
30.5;806432;805392;796992
30.3;802240;804336;792784
30.3;804336;800144;791744
30.2;801184;808544;798032
35.2;832688;829536;810640
35;841088;850544;840048
35;850544;852640;844240
34.9;;852640;836896
34.7;845296;844240;845296
34.4;848448;855792;831648
40.5;863136;863136;856848
40.2;892544;891488;885200
40;;890448;888352
39.8;892544;895696;893600
39.5;897792;898848;882048
39.3;896752;889392;882048
39;895696;896752;886240
